CUPOM;DATA;PLACA;POSTO;KM ATUAL;KM FINAL;DESCRIÇÃO DO ABASTECIMENTO;CONSUMO;DESCONTO;VALOR UNIT;CUSTO TOTAL;C/ DESC;KM Rodados ;KM/Litro;;;;;;;;;;;;
157769;18/01/2023;HGJ 5319;TATITA FERNÃO DIAS;122714;;DIESEL;118,29;;6,29;R$ 744,04;R$ 6,29;6351,00;53,69;;;;;;;;;;;;
Ajuste M.;18/01/2023;OQG 0668;;908983;;DIESEL;395,30;;;R$ 0,00;R$ 0,00;544434,00;1377,27;;;;;;;;;;;;
Ajuste M.;18/01/2023;OQG 0668;;910356;;DIESEL;542,30;;;R$ 0,00;R$ 0,00;1373,00;2,53;;;;;;;;;;;;
33803;18/01/2023;OQG 0668;ULTRAMARINO;910987;;DIESEL;236,12;23,61;6,32;R$ 1.468,67;R$ 6,22;631,00;2,67;;;;;;;;;;;;
Ajuste M.;18/01/2023;PZA 3995;;279695;;GASOLINA;36,50;;;R$ 0,00;R$ 0,00;-631292,00;-17295,67;;;;;;;;;;;;
157847;18/01/2023;PZE 8684;TATITA FERNÃO DIAS;343408;;DIESEL;100,28;;6,29;630,76;R$ 6,29;-356282,00;-3552,87;;;;;;;;;;;;
157851;18/01/2023;QQM 5087;TATITA FERNÃO DIAS;225249;;DIESEL;47,58;;6,29;299,28;R$ 6,29;151528,00;3184,70;;;;;;;;;;;;
34054;18/01/2023;QWS 8608;ULTRAMARINO;203317;;DIESEL;109,66;10,97;6,32;682,08;R$ 6,22;125451,00;1144,00;;;;;;;;;;;;
345753;19/01/2023;AXS 9G25;DOM PEDRO ALIANÇA;852578;;ARLA;36,00;;3,00;108,00;R$ 3,00;;;;;;;;;;;;;;
Ajuste M.;19/01/2023;BPQ 3I53;;97809;;DIESEL;38,00;;;R$ 0,00;R$ 0,00;-181082,00;-4765,32;;;;;;;;;;;;
Ajuste M.;19/01/2023;BPQ 3I53;;98089;;DIESEL;31,50;;;R$ 0,00;R$ 0,00;280,00;8,89;;;;;;;;;;;;
Ajuste M.;19/01/2023;CMR 5893;;867224;;DIESEL;125,80;;;R$ 0,00;R$ 0,00;794020,00;6311,76;;;;;;;;;;;;
Ajuste M.;19/01/2023;CMR 5893;;867700;;DIESEL;135,00;;;R$ 0,00;R$ 0,00;476,00;3,53;;;;;;;;;;;;
Ajuste M.;19/01/2023;CMR 5893;;868388;;DIESEL;165,40;;;R$ 0,00;R$ 0,00;688,00;4,16;;;;;;;;;;;;
157873;19/01/2023;CMR 5893;TATITA FERNÃO DIAS;868653;;DIESEL;83,59;;6,19;R$ 517,42;R$ 6,19;265,00;3,17;;;;;;;;;;;;
551100;19/01/2023;CPN 1798;DOM PEDRO POUSO ALEGRE;585445;;DIESEL;122,08;;6,09;743,47;R$ 6,09;243020,00;1990,66;;;;;;;;;;;;
263512;19/01/2023;FZG 4F66;POSTO ZÉ RAMOS;366740;;DIESEL;50,82;;6,39;324,74;R$ 6,39;268931,00;5291,83;;;;;;;;;;;;
157936;19/01/2023;HOB 1G50;TATITA FERNÃO DIAS;644062;;DIESEL;147,43;;6,19;912,59;R$ 6,19;56925,00;386,12;;;;;;;;;;;;
279926;19/01/2023;NYF 1166;BEIRA MINHO;700136;;DIESEL;125,15;37,54;6,89;824,74;R$ 6,59;583089,00;4659,12;;;;;;;;;;;;
279961;19/01/2023;QMQ 5351;BEIRA MINHO;334627;;DIESEL;185,71;55,71;6,89;1223,83;R$ 6,59;-363927,00;-1959,65;;;;;;;;;;;;
507989;19/01/2023;QUM 8566;COMBO AUTO POSTO;123691;;GASOLINA;50,56;;5,11;258,36;R$ 5,11;47468,00;938,84;;;;;;;;;;;;
221045;19/01/2023;RUJ 4I21;ULTRAMARINO;27046;;DIESEL;37,82;3,78;6,32;235,24;R$ 6,22;-881937,00;-23319,33;;;;;;;;;;;;
34991;20/01/2023;AXS 9G25;ULTRAMARINO;854578;;DIESEL;348,42;34,84;6,32;R$ 2.167,17;R$ 6,22;#REF!;#REF!;;;;;;;;;;;;
Ajuste M.;20/01/2023;BPQ 3I53;;98509;;DIESEL;43,59;;;R$ 0,00;R$ 0,00;-756069,00;-17345,01;;;;;;;;;;;;
Ajuste M.;20/01/2023;BPQ 3I53;;98799;;DIESEL;36,79;;;R$ 0,00;R$ 0,00;290,00;7,88;;;;;;;;;;;;
157999;20/01/2023;BPQ 3I53;TATITA FERNÃO DIAS;99125;;DIESEL;37,00;;6,29;R$ 232,73;R$ 6,29;326,00;8,81;;;;;;;;;;;;
280947;20/01/2023;BPQ 3I53;BEIRA MINHO;99441;;DIESEL;37,25;11,17;6,89;245,48;R$ 6,59;932,00;25,02;;;;;;;;;;;;
158130;20/01/2023;EZT 5167;TATITA FERNÃO DIAS;216813;;GASOLINA;40,08;;4,99;200,00;R$ 4,99;117372,00;4850,08;;;;;;;;;;;;
34834;20/01/2023;RUJ 4I21;ULTRAMARINO;27563;;DIESEL;55,50;5,55;6,32;R$ 345,21;R$ 6,22;-339177,00;-6111,30;;;;;;;;;;;;
35082;20/01/2023;RUJ 4I21;ULTRAMARINO;27960;;DIESEL;47,15;4,72;6,18;286,67;R$ 6,08;397,00;8,42;;;;;;;;;;;;
553184;23/01/2023;CPN 1798;DOM PEDRO POUSO ALEGRE;585887;;DIESEL;120,00;;6,09;730,80;R$ 6,09;-266691,00;-2222,43;;;;;;;;;;;;
36606;23/01/2023;FMZ 8I54;ULTRAMARINO;174496;;DIESEL;679,62;67,97;6,18;4132,08;R$ 6,08;-411961,00;-606,16;;;;;;;;;;;;
36584;23/01/2023;GGN 2B61;ULTRAMARINO;78764;;DIESEL;292,12;29,22;6,18;1776,08;R$ 6,08;-43950,00;-150,45;;;;;;;;;;;;
158431;23/01/2023;HGJ 5319;TATITA FERNÃO DIAS;123186;;DIESEL;102,80;;6,29;R$ 646,61;R$ 6,29;45320,00;440,86;;;;;;;;;;;;
217376;23/01/2023;HGJ 5319;DOM PEDRO DE LEME;123797;;DIESEL;144,56;;6,19;R$ 894,84;R$ 6,19;-93016,00;-643,43;;;;;;;;;;;;
508816;23/01/2023;PZE 8689;COMBO AUTO POSTO;289157;;DIESEL;93,29;;6,58;613,85;R$ 6,58;10266,00;110,04;;;;;;;;;;;;
282695;23/01/2023;QMQ 5351;BEIRA MINHO;335262;;DIESEL;152,41;45,72;6,89;1004,38;R$ 6,59;-250183,00;-1641,51;;;;;;;;;;;;
